date,regime,prob_regime_0,prob_regime_1,prob_regime_2
2006-11-01,0,1.0,0.0,0.0
2006-12-01,0,1.0,2.4775658826624895e-31,1.5918005650003072e-144
2007-01-01,0,1.0,4.0717234083899306e-49,1.474621897435722e-51
2007-02-01,0,1.0,3.048528281679975e-42,6.745687988536396e-68
2007-03-01,0,1.0,7.34106911615105e-30,5.333794805495869e-61
2007-04-01,0,1.0,1.5570586033822631e-34,1.0315651345161236e-48
2007-05-01,0,1.0,2.277787778581492e-53,2.0670342723719088e-52
2007-06-01,0,1.0,8.752707731732938e-68,1.398196507140075e-76
2007-07-01,0,1.0,5.711455284201304e-62,5.083195871963785e-89
2007-08-01,0,1.0,3.5103311146718794e-44,2.8020916184358543e-82
2007-09-01,0,1.0,1.6573726661896252e-34,2.4114076247123177e-67
2007-10-01,0,1.0,3.466751425330584e-17,9.710794047884263e-48
2007-11-01,1,1.3147342128456799e-14,1.0,3.5937228317750726e-32
2007-12-01,1,4.754187244763476e-13,0.9999999999995453,1.703880005533087e-15
2008-01-01,1,9.52133939805293e-19,1.0,5.530761525396068e-16
2008-02-01,1,4.976536061035704e-22,1.0,1.8830059674328767e-20
2008-03-01,1,1.4598260429948017e-27,1.0,1.9648095280075146e-23
2008-04-01,1,6.387790336402182e-22,1.0,3.7196325952207927e-19
2008-05-01,1,1.3817100272961767e-23,1.0,2.051851712728299e-18
2008-06-01,1,1.3645784197464313e-21,1.0,1.8296924898355197e-18
2008-07-01,1,2.4848483180060827e-24,1.0,9.708240585009421e-22
2008-08-01,1,1.0809395151823083e-23,1.0,5.154223567439374e-26
2008-09-01,1,1.5346491379936513e-28,1.0,1.1955571603471059e-27
2008-10-01,1,2.130077245641641e-27,1.0,2.2003412249420856e-17
2008-11-01,1,1.6607311568783316e-22,0.9999999999986358,1.3031060002318794e-12
2008-12-01,1,6.510992113579442e-25,1.0,3.7787658367895956e-14
2009-01-01,1,1.0556394809175305e-25,0.9999999999990905,9.744584754480599e-13
2009-02-01,1,3.7061334151321235e-24,0.9999999999845386,1.5452105851692888e-11
2009-03-01,1,2.614038966776092e-20,0.9999999994151949,5.848724133825418e-10
2009-04-01,1,1.5808946270751054e-20,0.999999999937927,6.207148074226239e-11
2009-05-01,1,2.1158016485326224e-19,0.9999999995879989,4.120152333821083e-10
2009-06-01,1,1.1464493556902598e-16,0.9999999886561001,1.1343952075241912e-08
2009-07-01,1,3.3354937214650437e-18,0.999999986298235,1.3701798788936778e-08
2009-08-01,1,4.721739334589931e-17,0.9999997720451834,2.279547870012276e-07
2009-09-01,1,3.8560593190880415e-20,0.9991919271299379,0.0008080728699531252
2009-10-01,2,6.3740016681405715e-27,2.664535768482876e-05,0.9999733546422429
