date,test_year,true_regime,pred_regime,correct,brier
2015-01-01,2015,1,1,1,0.0938
2015-02-01,2015,1,1,1,0.07886666666666665
2015-03-01,2015,1,1,1,0.09806666666666668
2015-04-01,2015,1,1,1,0.03606666666666667
2015-05-01,2015,1,0,0,0.17359999999999998
2015-06-01,2015,1,1,1,0.10746666666666667
2015-07-01,2015,1,1,1,0.060000000000000005
2015-08-01,2015,1,1,1,0.06206666666666666
2015-09-01,2015,0,1,0,0.2904
2015-10-01,2015,1,1,1,0.12646666666666667
2015-11-01,2015,1,0,0,0.1976
2015-12-01,2015,1,0,0,0.48246666666666665
2016-01-01,2016,0,1,0,0.2624666666666666
2016-02-01,2016,1,0,0,0.20346666666666668
2016-03-01,2016,0,0,1,0.14220000000000002
2016-04-01,2016,1,1,1,0.14426666666666668
2016-05-01,2016,1,0,0,0.1766
2016-06-01,2016,0,0,1,0.14286666666666664
2016-07-01,2016,0,0,1,0.11166666666666665
2016-08-01,2016,0,0,1,0.17646666666666666
2016-09-01,2016,1,0,0,0.17166666666666672
2016-10-01,2016,1,0,0,0.3721999999999999
2016-11-01,2016,0,2,0,0.22459999999999994
2016-12-01,2016,0,2,0,0.25220000000000004
2017-01-01,2017,2,2,1,0.1572666666666667
2017-02-01,2017,1,2,0,0.37646666666666667
2017-03-01,2017,1,2,0,0.335
2017-04-01,2017,2,2,1,0.1206
2017-05-01,2017,1,2,0,0.35706666666666664
2017-06-01,2017,1,2,0,0.2820666666666667
2017-07-01,2017,1,1,1,0.1880666666666667
2017-08-01,2017,2,1,0,0.21886666666666668
2017-09-01,2017,2,2,1,0.11706666666666665
2017-10-01,2017,2,2,1,0.1302
2017-11-01,2017,1,2,0,0.2792
2017-12-01,2017,0,2,0,0.4530666666666667
2018-01-01,2018,0,2,0,0.22319999999999995
2018-02-01,2018,1,1,1,0.11519999999999998
2018-03-01,2018,1,2,0,0.24526666666666666
2018-04-01,2018,1,2,0,0.3208666666666667
2018-05-01,2018,1,0,0,0.4484666666666666
2018-06-01,2018,0,2,0,0.17520000000000002
2018-07-01,2018,2,2,1,0.13526666666666667
2018-08-01,2018,0,2,0,0.21446666666666667
2018-09-01,2018,0,0,1,0.08846666666666668
2018-10-01,2018,0,2,0,0.25166666666666665
2018-11-01,2018,0,0,1,0.12006666666666665
2018-12-01,2018,0,0,1,0.18686666666666665
2019-01-01,2019,0,0,1,0.12019999999999999
2019-02-01,2019,0,0,1,0.0728
2019-03-01,2019,0,0,1,0.11246666666666666
2019-04-01,2019,0,0,1,0.13886666666666667
2019-05-01,2019,0,2,0,0.5234
2019-06-01,2019,1,2,0,0.5400666666666666
2019-07-01,2019,1,2,0,0.5484666666666667
2019-08-01,2019,1,2,0,0.28859999999999997
2019-09-01,2019,1,2,0,0.2752666666666666
2019-10-01,2019,1,2,0,0.5852666666666667
2019-11-01,2019,1,2,0,0.5621999999999999
2019-12-01,2019,1,2,0,0.2562
2020-01-01,2020,1,1,1,0.1418
2020-02-01,2020,1,1,1,0.14420000000000002
2020-03-01,2020,1,1,1,0.19086666666666666
2020-04-01,2020,1,1,1,0.155
2020-05-01,2020,1,1,1,0.005266666666666665
2020-06-01,2020,1,1,1,0.017266666666666677
2020-07-01,2020,1,1,1,0.011400000000000002
2020-08-01,2020,1,1,1,0.01846666666666666
2020-09-01,2020,1,1,1,0.022199999999999994
2020-10-01,2020,1,1,1,0.031400000000000004
2020-11-01,2020,1,1,1,0.04940000000000002
2020-12-01,2020,2,1,0,0.4828666666666666
2021-01-01,2021,1,1,1,0.024466666666666664
2021-02-01,2021,2,1,0,0.3588666666666667
2021-03-01,2021,2,1,0,0.23279999999999998
2021-04-01,2021,2,1,0,0.25406666666666666
2021-05-01,2021,2,0,0,0.26286666666666664
2021-06-01,2021,2,2,1,0.1454
2021-07-01,2021,2,2,1,0.1454
2021-08-01,2021,2,0,0,0.3378666666666667
2021-09-01,2021,2,0,0,0.24486666666666665
2021-10-01,2021,2,0,0,0.24486666666666665
2021-11-01,2021,2,0,0,0.2594666666666666
2021-12-01,2021,2,0,0,0.27859999999999996
2022-01-01,2022,2,2,1,0.02726666666666666
2022-02-01,2022,2,2,1,0.016800000000000006
