date,test_year,true_regime,pred_regime,correct,brier
2015-01-01,2015,1,1,1,0.04586666666666667
2015-02-01,2015,1,1,1,0.025799999999999993
2015-03-01,2015,1,1,1,0.06020000000000001
2015-04-01,2015,1,1,1,0.06486666666666664
2015-05-01,2015,1,1,1,0.07279999999999999
2015-06-01,2015,1,1,1,0.08446666666666668
2015-07-01,2015,1,1,1,0.058066666666666676
2015-08-01,2015,1,0,0,0.17686666666666664
2015-09-01,2015,0,0,1,0.10160000000000001
2015-10-01,2015,1,0,0,0.2952666666666667
2015-11-01,2015,1,0,0,0.20986666666666673
2015-12-01,2015,1,0,0,0.4648666666666666
2016-01-01,2016,0,0,1,0.0882
2016-02-01,2016,1,0,0,0.2534
2016-03-01,2016,0,0,1,0.09806666666666668
2016-04-01,2016,1,0,0,0.24500000000000002
2016-05-01,2016,1,0,0,0.2512666666666667
2016-06-01,2016,0,0,1,0.08526666666666667
2016-07-01,2016,0,0,1,0.09306666666666669
2016-08-01,2016,0,0,1,0.1762666666666667
2016-09-01,2016,1,0,0,0.3362
2016-10-01,2016,1,2,0,0.3128666666666667
2016-11-01,2016,0,0,1,0.1554
2016-12-01,2016,0,2,0,0.17246666666666668
2017-01-01,2017,2,2,1,0.031266666666666665
2017-02-01,2017,1,2,0,0.42660000000000003
2017-03-01,2017,1,2,0,0.37820000000000004
2017-04-01,2017,2,2,1,0.1516666666666667
2017-05-01,2017,1,2,0,0.28606666666666664
2017-06-01,2017,1,2,0,0.23326666666666665
2017-07-01,2017,1,2,0,0.3506
2017-08-01,2017,2,2,1,0.06406666666666666
2017-09-01,2017,2,2,1,0.05646666666666666
2017-10-01,2017,2,2,1,0.06259999999999999
2017-11-01,2017,1,2,0,0.3642
2017-12-01,2017,0,2,0,0.41386666666666666
2018-01-01,2018,0,0,1,0.1986
2018-02-01,2018,1,0,0,0.3404666666666667
2018-03-01,2018,1,2,0,0.3964666666666667
2018-04-01,2018,1,0,0,0.4144666666666667
2018-05-01,2018,1,2,0,0.32806666666666673
2018-06-01,2018,0,2,0,0.30019999999999997
2018-07-01,2018,2,0,0,0.18666666666666668
2018-08-01,2018,0,2,0,0.26086666666666664
2018-09-01,2018,0,0,1,0.11546666666666666
2018-10-01,2018,0,2,0,0.2418
